# cmod[mm], load[N]
7.397256e-03, 2.445180e+03
7.411255e-03, 2.448076e+03
7.425281e-03, 2.450969e+03
7.439328e-03, 2.453857e+03
7.453393e-03, 2.456743e+03
7.467474e-03, 2.459626e+03
7.481577e-03, 2.462505e+03
7.495707e-03, 2.465380e+03
7.509861e-03, 2.468250e+03
7.524037e-03, 2.471117e+03
7.538238e-03, 2.473979e+03
7.552461e-03, 2.476838e+03
7.566699e-03, 2.479695e+03
7.580950e-03, 2.482549e+03
7.595217e-03, 2.485400e+03
7.609499e-03, 2.488249e+03
7.623792e-03, 2.491096e+03
7.638097e-03, 2.493940e+03
7.652418e-03, 2.496782e+03
7.666752e-03, 2.499622e+03
7.681098e-03, 2.502460e+03
7.695453e-03, 2.505296e+03
7.709816e-03, 2.508130e+03
7.724184e-03, 2.510964e+03
7.738558e-03, 2.513796e+03
7.752946e-03, 2.516626e+03
7.767347e-03, 2.519454e+03
7.781764e-03, 2.522279e+03
7.796197e-03, 2.525100e+03
7.810659e-03, 2.527917e+03
7.825146e-03, 2.530730e+03
7.839652e-03, 2.533539e+03
7.854174e-03, 2.536346e+03
7.868707e-03, 2.539150e+03
7.883250e-03, 2.541953e+03
7.897805e-03, 2.544753e+03
7.912371e-03, 2.547552e+03
7.926945e-03, 2.550349e+03
7.941529e-03, 2.553144e+03
7.956133e-03, 2.555936e+03
7.970754e-03, 2.558725e+03
7.985391e-03, 2.561511e+03
8.000041e-03, 2.564294e+03
8.014701e-03, 2.567076e+03
8.029369e-03, 2.569857e+03
8.044043e-03, 2.572636e+03
8.058728e-03, 2.575413e+03
8.073431e-03, 2.578188e+03
8.088151e-03, 2.580959e+03
8.102890e-03, 2.583727e+03
8.117652e-03, 2.586490e+03
8.132438e-03, 2.589250e+03
8.147244e-03, 2.592006e+03
8.162064e-03, 2.594760e+03
8.176897e-03, 2.597512e+03
8.191738e-03, 2.600262e+03
8.206587e-03, 2.603011e+03
8.221450e-03, 2.605757e+03
8.236332e-03, 2.608500e+03
8.251229e-03, 2.611240e+03
8.266139e-03, 2.613978e+03
8.281061e-03, 2.616713e+03
8.295999e-03, 2.619446e+03
8.310953e-03, 2.622177e+03
8.325924e-03, 2.624904e+03
8.340913e-03, 2.627628e+03
8.355937e-03, 2.630346e+03
8.370995e-03, 2.633059e+03
8.386080e-03, 2.635766e+03
8.401186e-03, 2.638470e+03
8.416311e-03, 2.641171e+03
8.431449e-03, 2.643870e+03
8.446601e-03, 2.646566e+03
8.461762e-03, 2.649260e+03
8.476932e-03, 2.651953e+03
8.492111e-03, 2.654644e+03
8.507300e-03, 2.657334e+03
8.522496e-03, 2.660022e+03
8.537702e-03, 2.662708e+03
8.552921e-03, 2.665393e+03
8.568150e-03, 2.668075e+03
8.583388e-03, 2.670755e+03
8.598635e-03, 2.673434e+03
8.613891e-03, 2.676112e+03
8.629159e-03, 2.678787e+03
8.644450e-03, 2.681458e+03
8.659761e-03, 2.684126e+03
8.675096e-03, 2.686790e+03
