# cmod[mm], load[N]
1.507415e-01, 9.554241e+02
1.510885e-01, 9.515604e+02
1.514353e-01, 9.477254e+02
1.517817e-01, 9.439360e+02
1.521287e-01, 9.401057e+02
1.524756e-01, 9.362893e+02
1.528225e-01, 9.324914e+02
1.531693e-01, 9.287132e+02
1.535157e-01, 9.249704e+02
1.538620e-01, 9.212496e+02
1.542083e-01, 9.175461e+02
1.545543e-01, 9.138674e+02
1.549001e-01, 9.102170e+02
1.552457e-01, 9.065959e+02
1.555911e-01, 9.030044e+02
1.559362e-01, 8.994414e+02
1.562810e-01, 8.959129e+02
1.566268e-01, 8.923367e+02
1.569726e-01, 8.887672e+02
1.573183e-01, 8.852143e+02
1.576639e-01, 8.816864e+02
1.580092e-01, 8.781865e+02
1.583544e-01, 8.747148e+02
1.586992e-01, 8.712781e+02
1.590443e-01, 8.678411e+02
1.593894e-01, 8.644107e+02
1.597345e-01, 8.609969e+02
1.600794e-01, 8.576080e+02
1.604240e-01, 8.542467e+02
1.607685e-01, 8.509132e+02
1.611127e-01, 8.476059e+02
1.614567e-01, 8.443230e+02
1.618006e-01, 8.410626e+02
1.621442e-01, 8.378308e+02
1.624878e-01, 8.346094e+02
1.628313e-01, 8.314014e+02
1.631748e-01, 8.282135e+02
1.635180e-01, 8.250529e+02
1.638617e-01, 8.218672e+02
1.642052e-01, 8.186956e+02
1.645486e-01, 8.155222e+02
1.648904e-01, 8.123813e+02
1.652323e-01, 8.092646e+02
1.655746e-01, 8.061301e+02
1.659168e-01, 8.030063e+02
1.662592e-01, 7.998903e+02
1.666014e-01, 7.967862e+02
1.669436e-01, 7.937026e+02
1.672855e-01, 7.906432e+02
1.676273e-01, 7.876092e+02
1.679688e-01, 7.845996e+02
1.683100e-01, 7.816214e+02
1.686514e-01, 7.786418e+02
1.689928e-01, 7.756728e+02
1.693340e-01, 7.727200e+02
1.696752e-01, 7.697866e+02
1.700162e-01, 7.668743e+02
1.703570e-01, 7.639838e+02
1.706977e-01, 7.611148e+02
1.710382e-01, 7.582665e+02
1.713785e-01, 7.554378e+02
1.717186e-01, 7.526310e+02
1.720588e-01, 7.498195e+02
1.723990e-01, 7.470215e+02
1.727391e-01, 7.442426e+02
1.730790e-01, 7.414840e+02
1.734189e-01, 7.387457e+02
1.737585e-01, 7.360267e+02
1.740981e-01, 7.333258e+02
1.744375e-01, 7.306417e+02
1.747766e-01, 7.279806e+02
1.751156e-01, 7.253275e+02
1.754547e-01, 7.226871e+02
1.757938e-01, 7.200608e+02
1.761330e-01, 7.174438e+02
1.764720e-01, 7.148417e+02
1.768110e-01, 7.122572e+02
1.771499e-01, 7.096753e+02
1.774889e-01, 7.070828e+02
1.778276e-01, 7.044902e+02
1.781659e-01, 7.019163e+02
1.785040e-01, 6.993737e+02
1.788421e-01, 6.968431e+02
1.791800e-01, 6.943289e+02
1.795179e-01, 6.918239e+02
1.798557e-01, 6.893298e+02
1.801933e-01, 6.868508e+02
1.805308e-01, 6.843848e+02
1.808680e-01, 6.819293e+02
1.812051e-01, 6.794937e+02
1.815420e-01, 6.770806e+02
1.818790e-01, 6.746613e+02
1.822159e-01, 6.722533e+02
1.825528e-01, 6.698634e+02
1.828897e-01, 6.674836e+02
1.832265e-01, 6.651197e+02
1.835636e-01, 6.627572e+02
1.839006e-01, 6.604045e+02
1.842375e-01, 6.580654e+02
1.845743e-01, 6.557407e+02
1.849110e-01, 6.534341e+02
1.852482e-01, 6.511180e+02
1.855854e-01, 6.488073e+02
1.859218e-01, 6.464864e+02
1.862578e-01, 6.441942e+02
1.865937e-01, 6.419175e+02
1.869294e-01, 6.396592e+02
1.872651e-01, 6.374179e+02
1.876006e-01, 6.351913e+02
1.879360e-01, 6.329793e+02
1.882716e-01, 6.307696e+02
